1000,0.006989999974,8.50
2000,0.007000000005,9.80
3000,0.009119999913,10.90
4000,0.008419999949,11.00
5000,0.008519999938,11.60
6000,0.009810000029,11.60
7000,0.008960000014,11.30
8000,0.010170000041,11.50
9000,0.010669999938,12.50
10000,0.011800000038,12.50
11000,0.011709999990,12.60
12000,0.011510000013,12.70
13000,0.010080000084,12.30
14000,0.012340000058,12.70
15000,0.010079999902,12.50
16000,0.008879999950,11.80
17000,0.009550000004,13.70
18000,0.009669999963,13.70
19000,0.010289999909,12.90
20000,0.010339999972,13.40
21000,0.013760000002,13.90
22000,0.012309999966,14.20
23000,0.010119999979,13.50
24000,0.011520000089,12.20
25000,0.011160000076,13.40
26000,0.010909999992,14.20
27000,0.010470000007,13.40
28000,0.012270000025,13.90
29000,0.009830000045,13.90
30000,0.010899999961,13.40
31000,0.010440000051,14.20
32000,0.009369999998,14.10
33000,0.009229999978,13.50
34000,0.009709999949,14.20
35000,0.011279999990,14.30
36000,0.009709999995,14.30
37000,0.009440000031,13.70
38000,0.011100000120,14.00
39000,0.010699999893,14.50
40000,0.009850000015,14.10
41000,0.010210000028,15.20
42000,0.010259999999,14.30
43000,0.010810000049,14.40
44000,0.010639999937,14.20
45000,0.010109999994,14.60
46000,0.009789999922,14.80
47000,0.014250000049,14.70
48000,0.012330000027,14.70
49000,0.011429999995,15.30
50000,0.010279999969,14.80
51000,0.009859999955,14.80
52000,0.010149999935,14.10
53000,0.010089999978,14.00
54000,0.010190000057,14.50
55000,0.009829999999,13.40
56000,0.010410000095,15.40
57000,0.010789999942,14.50
58000,0.010009999960,14.80
59000,0.011330000007,14.80
60000,0.010189999966,14.80
61000,0.010239999938,15.20
62000,0.010209999982,15.10
63000,0.010580000071,14.90
64000,0.013369999988,15.30
65000,0.013669999998,14.90
66000,0.013170000011,15.30
67000,0.011970000014,15.80
68000,0.009670000009,14.40
69000,0.010110000039,14.60
70000,0.010359999987,15.60
71000,0.011549999954,15.30
72000,0.010649999967,14.80
73000,0.011390000054,15.70
74000,0.011190000032,15.40
75000,0.010430000066,13.80
76000,0.011799999993,14.70
77000,0.011450000011,15.80
78000,0.011499999937,15.50
79000,0.011080000058,15.80
80000,0.011549999999,15.60
81000,0.012740000102,14.70
82000,0.011510000013,15.00
83000,0.010890000021,16.10
84000,0.011360000008,15.60
85000,0.011959999983,15.50
86000,0.010949999978,15.60
87000,0.011249999943,16.00
88000,0.010869999960,15.20
89000,0.011219999942,16.10
90000,0.011529999938,16.10
91000,0.010980000070,15.80
92000,0.010870000051,15.60
93000,0.010259999999,14.90
94000,0.010760000077,15.80
95000,0.010680000014,15.00
96000,0.010600000087,15.50
97000,0.011190000032,15.70
98000,0.010500000053,15.00
99000,0.010970000039,16.30
100000,0.010499999871,15.90
